Bigram-2 Words
stock donate
donate heavy
heavy firefight
firefight military
military ambush
ambush tanks
tanks evening's
evening's message
message meaningful
meaningful peace
peace security
security talk
talk ukraine
ukraine chance
chance russia
russia reduce
reduce damage
damage mistake
mistake time
time meet
meet time
time talk
talk time
time restore
restore territorial
territorial integrity
integrity justice
justice ukraine
ukraine russia
russia mined
mined route
route bosporus
bosporus odessa
odessa claimed
claimed ukrainian
ukrainian mine
mine announced
announced head
head project
project institute
institute black
black sea
sea strategic
strategic studies
studies andrei
andrei klimenko
klimenko used
used thermobaric
thermobaric weapon
weapon also
also known
known vacuum
vacuum bomb
bomb according
according ministry
ministry defensecluster
defensecluster bomb
bomb vacuum
vacuum bomb
bomb spotted
spotted russia
russia authority
authority course
course denied
denied using
using another
another intercept
intercept taken
taken city
city nah
nah commander
commander refused
refused send
send slaughter
slaughter loot
loot around
around allowed
allowed please
please help
help help
help reaching
reaching dying
dying nothing
nothing eat
eat drink
drink please
please well-fed
well-fed people
people please
please help
help russia
russia mined
mined route
route bosporus
bosporus odessa
odessa claimed
claimed ukrainian
ukrainian mine
mine announced
announced head
head theproject
theproject institute
institute black
black sea
sea strategic
strategic studies
studies andrei
andrei klimenko
klimenko subscribers
subscribers report
report donate
donate suvs
suvs need
need territorial
territorial defense
defense empty
empty filled
filled humanitarian
humanitarian aid
aid empty
empty baby
baby stroller
stroller lviv
lviv central
central square
square commemorate
commemorate child
child killed
killed putins
putins bomb
bomb rocket
rocket kind
kind hearted
hearted veterinarian
veterinarian headed
headed poland
poland help
help incoming
incoming refugee
refugee animal
animal imagine
imagine physically
physically emotionally
emotionally gruelling
gruelling amazing
amazing human
human patternthe
patternthe perpetrated
perpetrated putin
putin since
since yearsno
yearsno changedworld
changedworld leader
leader responsibility
responsibility immensehe
immensehe stop
stop stop
stop road
road mural
mural show
show brave
brave little
little girl
girl hiding
hiding fairy
fairy tale
tale character
character different
different country
country flag
flag today
today ukraine
ukraine truly
truly decides
decides future
future come
come said
said recognises
recognises territorial
territorial integrity
integrity doe
doe recognise
recognise luhansk
luhansk donetsk
donetsk republic
republic recognised
recognised stated
stated position
position two
two key
key state
state ally
ally support
support position
position putin's
putin's speech
speech unity
unity greatness
greatness russian
russian people
people colorfully
colorfully reflected
reflected photograph
photograph state
state security
security service
service kidnapped
kidnapped home
home journalist
journalist physicist
physicist progressive
progressive yuri
yuri neutral
neutral observer
observer war
war whose
whose sole
sole fault
fault cheerlead
cheerlead regime
regime loved
loved ukraine
ukraine destroying
destroying bridge
bridge railway
railway scuttling
scuttling ship
ship recruiting
recruiting teenager
teenager fight
fight begging
begging help
help burning
burning document
document like
like berlinwe
berlinwe require
require bellingcat
bellingcat gibberish
gibberish see
see obvious
obvious sadly
sadly skin
skin color
color war
war victim
victim seems
seems biggest
biggest indicator
indicator solidarity
solidarity hushed
hushed west
west showing
showing solidarity
solidarity lol
lol know
know lot
lot people
people say
say innocent
innocent neither
neither come
come said
said recognises
recognises territorial
territorial integrity
integrity doe
doe recognise
recognise luhansk
luhansk donetsk
donetsk republic
republic recognised
recognised stated
stated position
position two
two key
key state
state ally
ally support
support position
position russia
russia us
us hypersonic
hypersonic missile
missile dagger
dagger first
first time
time combat
combat destroy
destroy underground
underground installation
installation ukrainian
ukrainian army
army delyatyn
delyatyn region
region ivano-frankivsk
ivano-frankivsk ukraine
ukraine frankivsk
frankivsk protester
protester front
front russian
russian embassy
embassy saturday
saturday afternoon
afternoon denouncing
denouncing invasion
invasion ukraine
ukraine call
call peace
peace photos
photos pravit
pravit rojanaphruk
rojanaphruk today
today district
district enemy
enemy combat
combat helicopter
helicopter k
k shot
shot air
air defense
defense unit
unit minus
minus another
another alligator
alligator helicopter
helicopter shot
shot using
using stinger
stinger manpads
manpads mod
mod here's
here's cartoon
cartoon today's
today's conflict
conflict existential
existential clearly
clearly intent
intent regime
regime change
change ukraine
ukraine destroying
destroying sovereign
sovereign state
state ukraine
ukraine making
making left
left appendage
appendage wait
wait real
real wow
wow ball
ball awe
awe standing
standing hope
hope seek
seek asylum
asylum upon
upon return
return someone
someone gonna
gonna pissed
pissed kremlin
kremlin see
see soldier
soldier defend
defend fair
fair wind
wind following
following sea
sea hmcs
hmcs halifax
halifax depart
depart pm
pm today
today support
support nato
nato french
french company
company deciding
deciding leave
leave russian
russian market
market place
place profit
profit solidarity
solidarity victim
victim war
war general
general andrey
andrey mordvichev
mordvichev dead
dead burn
burn hell
hell mf
mf germanys
germanys stop
stop production
production thank
thank war
war ukraine
ukraine prompts
prompts political
political makeover
makeover poland
poland people
people country
country choose
choose freedom
freedom every
every timeapart
timeapart crass
crass coattailling
coattailling term
term spouting
spouting yet
yet another
another demonstrable
demonstrable falsehood
falsehood voted
voted twice
twice join
join eu
eu alternatively
alternatively must
must believe
believe vote
vote freedom
freedom president
president xi
xi president
president cyril
cyril ramaphosa
ramaphosa agreed
agreed phone
phone call
call yesterday
yesterday south
south africa
africa share
share similar
similar position
position issue
issue zelensky
zelensky international
international symbol
symbol fight
fight freedom
freedom yerevan
yerevan today
today unsurprisingly
unsurprisingly n
n support
support invasion
invasion country
country close
close military
military economic
economic tie
tie go
go beyond
beyond normal
normal alliance
alliance aggressor
aggressor attacking
attacking occupying
occupying territory
territory another
another state
state force
force employee
employee belarusian
belarusian embassy
embassy left
left last
last employee
employee crossed
crossed border
border today
today quite
quite worrying
worrying plane
plane helicopter
helicopter destroyed
destroyed far
far spotted
spotted post
post box
box near
near home
home abercynon
abercynon wonderful
wonderful please
please let
let known
known military
military launched
launched ballistic
ballistic missile
missile strike
strike using
using civilian
civilian port
port berdyansk
berdyansk well
well behind
behind line
line front
front n
n air
air defence
defence struck
struck wonder
wonder grasp
grasp country
country leading
leading war
war giving
giving weapon
weapon civilian
civilian asking
asking weapon
weapon calling
calling terrorist
terrorist everywherei
everywherei know
know charisma
charisma doe
doe worth
worth decade
decade civilian
civilian war
war cnns
cnns clarissa
clarissa ward
ward interview
interview citizen
citizen subway
subway station
station bomb
bomb shelter
shelter ministry
ministry defense
defense showed
showed video
video rather
rather left
left heartbreaking
heartbreaking image
image stroller
stroller left
left lviv
lviv representing
representing number
number child
child killed
killed war
war far
far according
according ukraine's
ukraine's prosecutor
prosecutor generals
generals office
office russian
russian force
force killed
killed child
child since
since conflict
conflict began
began see
see map
map one
one exposed
exposed destruction
destruction city
city time
time map
map updating
updating incident
incident represented
represented situation
situation russians
russians extend
extend foothold
foothold several
several axis
axis day
day hard
hard fighting
fighting ukrainian
ukrainian counteroffensive
counteroffensive road
road drones
drones may
may best
best weaponfinding
weaponfinding tank
tank dark
dark easy
easy themprecision
themprecision strikesno
strikesno civilian
civilian harmed
harmed result
result air
air strike
strike occupier
occupier makarov
makarov people
people killed
killed others
others injuredresidential
injuredresidential building
building destroyed
destroyed administrative
administrative building
building damaged
damaged video
video justice
justice reduced
reduced failed
failed state
state known
known prime
prime minister
minister boris
boris johnson
johnson said
said would
would mistake
mistake normalize
normalize relation
relation president
president vladimir
vladimir putin
putin event
event international
international court
court justice
justice called
called immediately
immediately stop
stop invasion
invasion dictator
dictator belief
belief country
country equal
equal others
others right
right bend
bend defiant
defiant government
government city
city bear
bear name
name virgin
virgin mary
mary mariupol
mariupol become
become city
city martyred
martyred ruinous
ruinous war
war devastating
devastating ukraine
ukraine another
another intercept
intercept taken
taken city
city nah
nah commander
commander refused
refused send
send slaughter
slaughter loot
loot around
around allowed
allowed world
world contends
contends war
war chief
chief warns
warns nowhere
nowhere earth
earth people
people risk
risk year
year soviet
soviet war
war afghanistan
afghanistan ussr
ussr lost
lost fighter
fighter jet
jet day
day war
war russia
russia loses
loses fighter
fighter jet
jet ukrainian
ukrainian air
air force
force got
got skill
skill staff
staff member
member embassy
embassy ukraine
ukraine left
left territory
territory today
today led
led ambassadorwhat
ambassadorwhat could
could mean
mean diplomacy
diplomacy putin's
putin's speech
speech unity
unity greatness
greatness russian
russian people
people colorfully
colorfully reflected
reflected photograph
photograph ukrainians
ukrainians bury
bury one
one dead
dead soldierevery
soldierevery one
one hero
hero fighting
fighting motherland
motherland child
child freedom
freedom eternal
eternal memory
memory today
today addressing
addressing us
us senate
senate spoke
spoke war
war incredible
incredible bravery
bravery people
people spoke
spoke crime
crime russia
russia cannot
cannot trusted
trusted spoke
spoke heartbreaking
heartbreaking catastrophe
catastrophe sbu
sbu released
released secret
secret document
document invader
invader sbu
sbu employee
employee seized
seized secret
secret document
document russian
russian army
army bombed
bombed security
security force
force near
near gostomel
gostomel special
special force
force armed
armed force
force got
got name
name russian
russian invader
invader likely
likely oblast
oblast ukrainian
ukrainian force
force destroyed
destroyed tank
tank x
x t-b
t-b t-b
t-b obr
obr t-b
t-b unsure
unsure precise
precise location
location vehicle
vehicle previously
previously unseen
unseen accuses
accuses use
use mobile
mobile system
system target
target region
region fair
fair wind
wind following
following sea
sea hmcs
hmcs halifax
halifax depart
depart pm
pm today
today support
support nato
nato germanys
germanys stop
stop production
production thank
thank spoke
spoke since
since year
year democracy
democracy free
free europe
europe etc
etc real
real people
people help
help causing
causing global
global famine
famine targeting
targeting agricultural
agricultural facility
facility missile
missile tank
tank land
land mine
mine prevent
prevent crop
crop growing
growing express
express concern
concern urge
urge stop
stop war
war world
world contends
contends war
war chief
chief warns
warns nowhere
nowhere earth
earth people
people risk
risk kid
kid could
could kid
kid deserve
deserve sleep
sleep bed
bed instead
instead cold
cold cellar
cellar deserve
deserve safe
safe instead
instead shot
shot found
found military
military bridge
bridge river
river near
near km
km north-west
north-west sviatoshyn
sviatoshyn airfield
airfield mural
mural show
show brave
brave little
little girl
girl hiding
hiding fairy
fairy tale
tale character
character different
different country
country flag
flag today
today ukraine
ukraine truly
truly decides
decides future
future released
released new
new satellite
satellite imagery
imagery showing
showing devastating
devastating aftermath
aftermath airstrike
airstrike mariupol
mariupol drama
drama theater
theater japanese
japanese prime
prime minister
minister indian
indian counterpart
counterpart reiterate
reiterate call
call immediate
immediate cessation
cessation violence
violence india's
india's foreign
foreign secretary
secretary nobody
nobody want
want leave
leave city
city anymore
anymore said
said yulia
yulia fistik
fistik work
work alongside
alongside mother
mother one
one flower
flower shop
shop business
business good
good lot
lot soldier
soldier town
town buy
buy flower
flower report
report good
good morning
morning th
th day
day th
th day
day today
today speak
speak inhumanity
inhumanity fear
fear blood
blood moneyi
moneyi also
also share
share item
item see
see thread
thread ulysses
ulysses grant
grant support
support thank
thank time
time zelensky
zelensky international
international symbol
symbol fight
fight freedom
freedom looking
looking forward
forward disavowing
disavowing johnson's
johnson's linking
linking subtle
subtle rhetoric
rhetoric fascism
fascism winning
winning goebbels
goebbels would
would proud
proud englishman
englishman feel
feel ashamed
ashamed disgusting
disgusting creature
creature leader
leader disgusted
disgusted word
word name
name disgusted
disgusted democracy
democracy word
word name
name prime
prime minister
minister boris
boris johnson
johnson said
said would
would mistake
mistake normalize
normalize relation
relation president
president vladimir
vladimir putin
putin event
event mural
mural show
show brave
brave little
little girl
girl hiding
hiding fairy
fairy tale
tale character
character different
different country
country flag
flag today
today ukraine
ukraine truly
truly decides
decides future
future another
another orlan
orlan recon
recon drone
drone shot
shot ukrainian
ukrainian forces
forces left
left woman
woman asking
asking whole
whole asking
asking cant
cant world
world stop
stop one
one man
man likely
likely oblast
oblast ukrainian
ukrainian force
force destroyed
destroyed tank
tank x
x t-b
t-b t-b
t-b obr
obr t-b
t-b unsure
unsure precise
precise location
location vehicle
vehicle previously
previously unseen
unseen let
let ask
ask question
question loses
loses negotiation
negotiation steal
steal ukrainian
ukrainian land
land prevents
prevents turning
turning west
west doe
doe anyone
anyone still
still doubt
doubt another
another another
another war
war monger
monger know
know putin
putin lady
lady treat
treat ukrainian
ukrainian soldier
soldier defend
defend invader
invader pure
pure unconditional
unconditional love
love great
great see
see something
something russians
russians moscow
moscow protesting
protesting war
war oh
oh wait
wait they're
they're actually
actually supporting
supporting war
war prisoners
prisoners war
war captured
captured like
like dogs
dogs better
better captured
captured dead
dead called
called mother
mother yet
yet world
world need
need see
see rosetta
rosetta stone
stone culture
culture affected
affected world
world crisis
crisis short
short hungary
hungary happytrailsnft
happytrailsnft belgium
belgium ask
ask people
people collect
collect money
money succesfully
succesfully collecting
collecting million
million belgian
belgian medium
medium dont
dont say
say belgian
belgian company
company intension
intension leaving
leaving russia
russia bigger
bigger fundraiser
fundraiser putins
putins regime
regime day
day war
war genocide
genocide military
military launched
launched ballistic
ballistic missile
missile strike
strike using
using civilian
civilian port
port berdyansk
berdyansk well
well behind
behind line
line front
front n
n air
air defence
defence struck
struck family
family rescued
rescued hour
hour emergency
emergency rescue
rescue support
support team
team contact
contact email
email ukrainerescuecomphone
ukrainerescuecomphone call
call text
text supported
supported viewpoint
viewpoint even
even colleagues
colleagues killed
killed via
via international
international court
court justice
justice called
called immediately
immediately stop
stop invasion
invasion dictator
dictator belief
belief country
country equal
equal others
others right
right bend
bend defiant
defiant government
government employee
employee embassy
embassy left
left igor
igor sokol
sokol announced
announced said
said checkpoint
checkpoint completely
completely inspected
inspected car
car employee
employee kept
kept border
border night
night left
left mural
mural show
show brave
brave little
little girl
girl hiding
hiding fairy
fairy tale
tale character
character different
different country
country flag
flag today
today ukraine
ukraine truly
truly decides
decides future
future western
western nation
nation russian
russian oil
oil moral
moral high
high ground
ground india
india neither
neither classic
classic western
western hypocrisy
hypocrisy military
military launched
launched ballistic
ballistic missile
missile strike
strike using
using civilian
civilian port
port berdyansk
berdyansk well
well behind
behind line
line front
front n
n air
air defence
defence struck
struck every
every day
day pass
pass civilian
civilian killed
killed every
every business
business relationship
relationship russia
russia mean
mean money
money finance
finance genocidestop
genocidestop wow
wow democrats
democrats would
would defend
defend country
country attacked
attacked russian
russian aggression
aggression decisive
decisive impact
impact european
european security
security north
north development
development moving
moving direction
direction putin
putin certainly
certainly expect
expect membership
membership finland
finland table
table thread
thread nato
nato russian
russian president
president vladimir
vladimir putin
putin telephone
telephone conversation
conversation prime
prime minister
minister luxembourg
luxembourg xavier
xavier bettel
bettel discus
discus special
special military
military operation
operation saturday
saturday tass
tass news
news agency
agency reported
reported bangladeshi
bangladeshi embassy
embassy managed
managed rescue
rescue four
four trapped
trapped detention
detention center
center 
 
 patternthe
patternthe perpetrated
perpetrated putin
putin since
since yearsno
yearsno changedworld
changedworld leader
leader responsibility
responsibility immensehe
immensehe stop
stop stop
stop provide
provide medicine
medicine assistance
assistance people
people occupied
occupied rallied
rallied street
street protest
protest russian
russian invasion
invasion force
force signing
signing ukrainian
ukrainian national
national anthem
anthem behind
behind roadblock
roadblock they've
they've installed
installed russian
russian disinformation
disinformation news
news due
due war
war shaping
shaping us
us political
political discourse
discourse past
past six
six year
year newsletter
newsletter explain
explain trump
trump co
co boost
boost putins
putins disinfo
disinfo read
read rt
rt neutral
neutral status
status option
option neutral
neutral annexed
annexed started
started war
war strengthening
strengthening border
border strengthening
strengthening army
army according
according standard
standard top
top priority
priority today
today year
year nobody
nobody getting
getting anything
anything war
war people
people suffering
suffering getting
getting killed
killed becoming
becoming homeless
homeless military
military launched
launched ballistic
ballistic missile
missile strike
strike using
using civilian
civilian port
port berdyansk
berdyansk well
well behind
behind line
line front
front n
n air
air defence
defence struck
struck cryptocurrencies
cryptocurrencies taken
taken unprecedented
unprecedented role
role war
war helping
helping government
government raise
raise million
million dollar
dollar fund
fund fight
fight russian
russian invasionfull
invasionfull article
article gop
gop senators
senators spend
spend independence
independence day
day moscow
moscow nestle
nestle remains
remains paying
paying tax
tax russian
russian government
government giving
giving putin
putin money
money kill
kill civilian
civilian child
child mother
mother covered
covered month-old
month-old daughter
daughter body
body protect
protect shelling
shelling woman
woman received
received numerous
numerous injury
injury army
army fight
fight invader
invader ensure
ensure happy
happy childhood
childhood kid
kid bright
bright future
future peaceful
peaceful independent
independent russian
russian drone
drone watching
watching ukrainian
ukrainian hmmwv
hmmwv convoy
convoy move
move towards
towards hideout
hideout forest
forest artillery
artillery hit
hit position
position afterwards
afterwards horrified
horrified yesterday
yesterday reported
reported attack
attack maternity
maternity hospital
hospital mariupol
mariupol full
full statement
statement child
child ukraine
ukraine desperately
desperately need
need peace
peace tzm-t
tzm-t reloader
reloader vehicle
vehicle tos-a
tos-a thermobaric
thermobaric mrl
mrl abandoned
abandoned russian
russian army
army meanwhile
meanwhile destroyed
destroyed ukrainian
ukrainian civilian
civilian day
day two
two day
day connection
connection getting
getting betterthanks
betterthanks internet
internet see
see word
word russian
russian see
see red
red amid
amid war
war sense
sense anti-russian
anti-russian hostility
hostility led
led threat
threat backlash
backlash thing
thing perceived
perceived via
via see
see soldier
soldier defend
defend hey
hey liberals
liberals trump
trump putin
putin cahoot
cahoot wait
wait untill
untill biden
biden took
took invade
invade ukraine
ukraine condemned
condemned say
say one
one themwhat
themwhat striking
striking precisely
precisely happening
happening indignantly
indignantly rejected
rejected war
war going
going world
world even
even cgs
cgs flas
flas alum
alum featured
featured reporting
reporting news
news live
live new
new age
age intimidation
intimidation europe
europe putin
putin win
win boris
boris johnson
johnson say
say russia
russia claim
claim use
use apocalyptic
apocalyptic war
war weapon
weapon urgent
urgent staff
staff member
member embassy
embassy ukraine
ukraine left
left territory
territory today
today led
led ambassadorwhat
ambassadorwhat could
could mean
mean diplomacy
diplomacy doe
doe enough
enough foodin
foodin region
region local
local official
official asking
asking retail
retail chain
chain give
give food
food connection
connection current
current situation
situation territory
territory hard-working
hard-working volunteer
volunteer making
making hot
hot meal
meal every
every day
day thousand
thousand refugee
refugee zahony
zahony hungary
hungary personally
personally vouch
vouch quality
quality every
every goulash
goulash made
made lol
lol become
become similar
similar aleppo
aleppo everything
everything destroyed
destroyed unfortunately
unfortunately lost
lost connection
connection partner
partner sure
sure alive
alive executive
executive director
director alliance
alliance public
public health
health kind
kind hearted
hearted veterinarian
veterinarian headed
headed poland
poland help
help incoming
incoming refugee
refugee animal
animal imagine
imagine physically
physically emotionally
emotionally gruelling
gruelling amazing
amazing human
human report
report state
state security
security service
service removed
removed patient
patient personnel
personnel hospital
hospital st
st mined
mined explosive
explosive sbu
sbu plan
plan detonate
detonate building
building n
n plane
plane fly
fly video
video barrack
barrack another
another intercept
intercept taken
taken city
city nah
nah commander
commander refused
refused send
send slaughter
slaughter loot
loot around
around allowed
allowed international
international court
court justice
justice called
called immediately
immediately stop
stop invasion
invasion dictator
dictator belief
belief country
country equal
equal others
others right
right bend
bend defiant
defiant government
government fair
fair wind
wind following
following sea
sea hmcs
hmcs halifax
halifax depart
depart pm
pm today
today support
support nato
nato warns
warns secondary
secondary aids
aids invasion
invasion poland
poland germany
germany soviet
soviet union
union partition
partition poland
poland two
two note
note poland
poland romania
romania border
border oil
oil rich
rich territory
territory taken
taken soviet
soviet union
union becoming
becoming ukrainian
ukrainian cold
cold war
war end
end rn
rn refugees
refugees west
west fleeing
fleeing war
war face
face dicrimination
dicrimination harassment
harassment local
local :'d
:'d ear
ear displaced
displaced people
people ukrainian
ukrainian language
language spoken
spoken ukraine
ukraine can't
can't learn
learn there's
there's difference'fig
difference'fig languages
languages ukraine
ukraine genesis
genesis nft
nft drop
drop end
end today
today hr
hr left
left get
get one
one already
already please
please check
check piece
piece support
support transitioning
transitioning we're
we're also
also looking
looking support
support immigration
immigration study
study reallocation
reallocation need
need family
family decides
decides donate
donate body
body killed
killed medical
medical college
college last
last rites
rites initiate
initiate prosecution
prosecution crime
crime aggression
aggression pool
pool jurisdiction
jurisdiction resource
resource european
european country
country criminalized
criminalized aggression
aggression potentially
potentially ukraine
ukraine establish
establish hybrid
hybrid court
court nonukrainian
nonukrainian judge
judge boo
boo impartiality
impartiality worried
worried child
child seeing
seeing hearing
hearing news
news right
right here's
here's comfort
comfort amidst
amidst war
war prime
prime minister
minister boris
boris johnson
johnson said
said would
would mistake
mistake normalize
normalize relation
relation president
president vladimir
vladimir putin
putin event
event great
great article
article putting
putting context
context longitudinal
longitudinal view
view european
european history
history follows
follows long
long tradition
tradition whats
whats voting
voting aid
aid need
need urgent
urgent investigation
investigation evidence
evidence russia
russia report
report russian
russian interference
interference uk
uk election
election pm's
pm's decision
decision ignore
ignore security
security advice
advice cosy
cosy russian
russian oligarchswhen
oligarchswhen brave
brave people
people dodging
dodging bullet
bullet bomb
bomb dodging
dodging truth
truth military
military launched
launched ballistic
ballistic missile
missile strike
strike using
using civilian
civilian port
port berdyansk
berdyansk well
well behind
behind line
line front
front n
n air
air defence
defence struck
struck first
first mention
mention man
man appeared
appeared march
march direction
direction headed
headed dangerous
dangerous still
still made
made town
town korostyshiv
korostyshiv truck
truck picked
picked thus
thus man
man cow
cow walked
walked km
km survived
survived ukrainian
ukrainian infantry
infantry counter-attacking
counter-attacking russian
russian position
position yaroslava
yaroslava mahuchikh
mahuchikh forced
forced flee
flee dnipro
dnipro russia
russia invaded
invaded faced
faced three-day
three-day drive
drive reach
reach belgrade
belgrade dedicated
dedicated high
high jump
jump world
world title
title showing
showing strongest
strongest world
world peace
peace forest
forest sound
sound warsound
warsound pleaseim
pleaseim forest
forest used
used thermobaric
thermobaric weapon
weapon also
also known
known vacuum
vacuum bomb
bomb according
according ministry
ministry defensecluster
defensecluster bomb
bomb vacuum
vacuum bomb
bomb spotted
spotted russia
russia authority
authority course
course denied
denied using
using good
good morning
morning woke
woke warm
warm bed
bed drinking
drinking hot
hot coffee
coffee eat
eat breakfast
breakfast egg
egg bacon
bacon toast
toast orange
orange juice
juice want
want destroy
destroy way
way life
life want
want rule
rule world
world wont
wont stop
stop dont
dont think
think know
know lying
lying helping
helping major
major way
way criminal
criminal invasion
invasion hard
hard west
west understand
understand people
people moscow
moscow tehran
tehran beijing
beijing lie
lie time
time everything
everything yesterday
yesterday first
first time
time fact
fact using
using newest
newest weapon
weapon shell
shell go
go parachute
parachute recorded
recorded armed
armed force
force use
use brutal
brutal weapon
weapon every
every day
day pass
pass civilian
civilian killed
killed every
every business
business relationship
relationship russia
russia mean
mean money
money finance
finance genocidestop
genocidestop russians
russians waiting
waiting line
line good
good allegedlyah
allegedlyah ussr
ussr return
return international
international court
court justice
justice called
called immediately
immediately stop
stop invasion
invasion dictator
dictator belief
belief country
country equal
equal others
others right
right bend
bend defiant
defiant government
government beloved
beloved wonderful
wonderful talented
talented courageous
courageous country
country destroyed
destroyed dear
dear world
world cant
cant something
something please
please help
help help
help reaching
reaching dying
dying nothing
nothing eat
eat drink
drink please
please well-fed
well-fed people
people please
please help
help employee
employee belarusian
belarusian embassy
embassy left
left last
last employee
employee crossed
crossed border
border today
today quite
quite worrying
worrying supposed
supposed negotiate
negotiate president
president must
must note
note encouraged
encouraged western
western country
country purposefully
purposefully preparing
preparing scenario
scenario force
force massacre
massacre ethnic
ethnic cleansing
cleansing another
another intercept
intercept near
near nothing
nothing week
week mean
mean gone
gone wont
wont surrender
surrender cut
cut pows
pows ear
ear broke
broke finger
finger think
think theyd
theyd treat
treat better
better stop
stop talking
talking war
war criminal
criminal imprison
imprison instead
instead america
america much
much better
better since
since cannot
cannot imagine
imagine horror
horror nd
nd trump
trump administration
administration covid
covid would
would even
even worse
worse would
would control
control thank
thank goodness
goodness good
good riddance
riddance russian
russian fsb
fsb raiding
raiding residential
residential house
house tzm-t
tzm-t reloader
reloader vehicle
vehicle tos-a
tos-a thermobaric
thermobaric mrl
mrl abandoned
abandoned russian
russian army
army meanwhile
meanwhile destroyed
destroyed ukrainian
ukrainian civilian
civilian listen
listen chief
chief talking
talking italian
italian war
war feed
feed human
human trafficking
trafficking total
total nt
nt million
million us
us million
million raised
raised taiwan
taiwan day
day since
since government
government designated
designated account
account crowd
crowd source
source funding
funding platform
platform established
established raise
raise money
money help
help ukrainian
ukrainian refugee
refugee amid
amid russian
russian invasion
invasion russia
russia brings
brings devastation
devastation horror
horror despair
despair eventually
eventually bring
bring home
home one
one way
way another
another stopped
stopped oblast
oblast ukraine
ukraine soldier
soldier russian
russian occupation
occupation army
army destroyed
destroyed city
city russian
russian occupier
occupier bring
bring death
death destruction
destruction like
like leader
leader serpent
serpent via
via us
us official
official confirmed
confirmed cnn
cnn launched
launched hypersonic
hypersonic missile
missile last
last week
week first
first known
known use
use missile
missile combat
combat first
first man
man space
space responsible
responsible war
war ukraine
ukraine historic
historic journey
journey first
first domino
domino fall
fall must
must erased
erased history
history book
book russia
russia held
held back
back major
major capability
capability nato
nato call
call special
special mil
mil ops
ops 
 first
first use
use hypersonic
hypersonic missile
missile km
km altitude
altitude accurate
accurate putin
putin using
using talk
talk force
force together
together objective
objective pla
pla war
war india
india lightening
lightening campaign
campaign tactic
tactic zelensky
zelensky international
international symbol
symbol fight
fight freedom
freedom refugees
refugees west
west fleeing
fleeing war
war face
face dicrimination
dicrimination harassment
harassment local
local :'d
:'d ear
ear displaced
displaced people
people ukrainian
ukrainian language
language spoken
spoken ukraine
ukraine can't
can't learn
learn there's
there's difference'fig
difference'fig languages
languages ukraine
ukraine likened
likened whats
whats happening
happening thats
thats grossly
grossly insulting
insulting ukrainians
ukrainians whove
whove unlawfully
unlawfully invaded
invaded literally
literally fighting
fighting life
life freedom
freedom join
join world
world focus
focus family
family ethiopia
ethiopia face
face remain
remain forgotten
forgotten ic
ic according
according child
child five
five almost
almost two-third
two-third pregnant
pregnant breastfeeding
breastfeeding woman
woman malnourished
malnourished people
people talking
talking longer
longer seeing
seeing today
today occupation
occupation killing
killing unarmed
unarmed broad
broad daylight
daylight effective
effective ukrainian
ukrainian strike
strike ab
ab russian
russian forced
forced towed
towed away
away damaged
damaged helicopters
helicopters x
x mi
mi havoc
havoc mi
mi hind
hind attack
attack helicopter
helicopter mi
mi amtsh
amtsh transport
transport moved
moved away
away presumably
presumably serious
serious repair
repair russia
russia exclusivebombshellcuments
exclusivebombshellcuments released
released ukrainian
ukrainian general
general prosecutors
prosecutors office
office reveal
reveal millions
millions funneled
funneled hunter
hunter biden
biden john
john kerry
kerry familyare
familyare awake
awake yet
yet russia
russia website
website russian
russian ministry
ministry foreign
foreign affairs
affairs constantly
constantly attack
attack said
said official
official representative
representative ministry
ministry feel
feel natural
natural fatigue
fatigue war
war air
air war
war tired
tired want
want love
love live
live laugh
laugh please
please go
go saturday
saturday released
released new
new satellite
satellite imagery
imagery showing
showing devastating
devastating aftermath
aftermath airstrike
airstrike mariupol
mariupol drama
drama theater
theater make
make history
history buying
buying nfts
nfts made
made ukraine
ukraine artist
artist help
help team
team border
border buying
buying food
food medicine
medicine mint
mint start
start soon
soon subtle
subtle rhetoric
rhetoric fascism
fascism winning
winning goebbels
goebbels would
would proud
proud englishman
englishman feel
feel ashamed
ashamed disgusting
disgusting creature
creature leader
leader disgusted
disgusted word
word name
name disgusted
disgusted democracy
democracy word
word name
name russian
russian supposed
supposed bunkering
bunkering billion
billion dollar
dollar secret
secret swiss
swiss bank
bank account
account banking
banking association
association estimatesif
estimatesif confirmed
confirmed helped
helped moneyrussia
moneyrussia destroys
destroys propertycarry
propertycarry immediate
immediate expropriation
expropriation without
without compensation
compensation whitehall
whitehall rally
rally support
support aggression
aggression helped
helped important
important video
video ill
ill ask
ask rest
rest help
help people
people join
join today
today starting
starting :p
:p ct
ct stream
stream talking
talking et
et call
call discussing
discussing please
please watch
watch yet
yet another
another fantastic
fantastic piece
piece ground
ground read
read follow
follow absence
absence compassion
compassion int'l
int'l community
community towards
towards suffering
suffering become
become even
even evident
evident desire
desire stop
stop war
war selectively
selectively demonstrated
demonstrated towards
towards ignoring
ignoring almost
almost didnt
didnt watch
watch almost
almost didnt
didnt watch
watch end
end boy
boy glad
glad masterclass
masterclass help
help people
people misled
misled misinformation
misinformation hear
hear truth
truth asked
asked west
west interested
interested dont
dont interest
interest dozen
dozen country
country war
war fact
fact st
st europe
europe proven
proven recoverable
recoverable reserve
reserve uranium
uranium ore
ore nd
nd europe
europe th
th world
world titanium
