Extracted word after stopword,Different Meaning,Detection,Definition of the token,Dictionary-NLTK-wordnet
issued,"('write_out', 'issue', 'make_out', 'cut')",Polysemy,make out and issue,write_out.v.02
unloaded,"('drop', 'drop_off', 'set_down', 'put_down', 'unload', 'discharge')",Polysemy,leave or unload,drop.v.08
designed,"('design',)",Not a Polysemy,create designs,design.v.05
soar,"('hang_glide', 'soar')",Polysemy,fly by means of a hang glider,hang_glide.v.01
assault,"('assault',)",Not a Polysemy,close fighting during the culmination of a military attack,assault.n.01
reflect,"('chew_over', 'think_over', 'meditate', 'ponder', 'excogitate', 'contemplate', 'muse', 'reflect', 'mull', 'mull_over', 'ruminate', 'speculate')",Polysemy,reflect deeply on a subject,chew_over.v.01
volunteered,"('volunteer',)",Not a Polysemy,do volunteer work,volunteer.v.03
invading,"('invade', 'occupy')",Polysemy,march aggressively into another's territory by military force for the purposes of conquest and occupation,invade.v.01
separate,"('distinguish', 'separate', 'differentiate', 'secern', 'secernate', 'severalize', 'severalise', 'tell', 'tell_apart')",Polysemy,mark as different,distinguish.v.01
keep,"('restrain', 'keep', 'keep_back', 'hold_back')",Polysemy,keep under control; keep in check,restrain.v.01
five,"('five', '5', 'V', 'cinque', 'quint', 'quintet', 'fivesome', 'quintuplet', 'pentad', 'fin', 'Phoebe', 'Little_Phoebe')",Polysemy,the cardinal number that is the sum of four and one,five.n.01
worthless,"('despicable', 'ugly', 'vile', 'slimy', 'unworthy', 'worthless', 'wretched')",Polysemy,morally reprehensible,despicable.s.01
encounter,"('meet', 'encounter', 'receive')",Polysemy,experience as a reaction,meet.v.11
raised,"('raise',)",Not a Polysemy,collect funds for a specific purpose,raise.v.04
pole,"('pole', 'celestial_pole')",Polysemy,one of two points of intersection of the Earth's axis and the celestial sphere,pole.n.06
withdraw,"('retire', 'withdraw')",Polysemy,lose interest,retire.v.08
corrupt,"('corrupt', 'pervert', 'subvert', 'demoralize', 'demoralise', 'debauch', 'debase', 'profane', 'vitiate', 'deprave', 'misdirect')",Polysemy,corrupt morally or by intemperance or sensuality,corrupt.v.01
ethiopian,"('Ethiopian',)",Not a Polysemy,a native or inhabitant of Ethiopia,ethiopian.n.01
centers,"('center', 'centre')",Polysemy,a place where some particular activity is concentrated,center.n.11
x,"('ten', '10', 'X', 'tenner', 'decade')",Polysemy,the cardinal number that is the sum of nine and one; the base of the decimal system,ten.n.01
give,"('give',)",Not a Polysemy,give (as medicine),give.v.19
uprising,"('rise', 'come_up', 'uprise', 'ascend')",Polysemy,"come up, of celestial bodies",rise.v.16
northern,"('Northern',)",Not a Polysemy,a dialect of Middle English that developed into Scottish Lallans,northern.n.01
make,"('do', 'make')",Polysemy,"create or design, often in a certain way",do.v.08
love,"('love',)",Not a Polysemy,a score of zero in tennis or squash,love.n.05
exchange,"('exchange',)",Not a Polysemy,(chess) gaining (or losing) a rook in return for a knight or bishop,exchange.n.10
date,"('date',)",Not a Polysemy,sweet edible fruit of the date palm with a single long woody seed,date.n.08
rent,"('rend', 'rip', 'rive', 'pull')",Polysemy,tear or be torn violently,rend.v.01
wants,"('want',)",Not a Polysemy,hunt or look for; want for a particular reason,want.v.03
constantly,"('constantly', 'always', 'forever', 'perpetually', 'incessantly')",Polysemy,without interruption,constantly.r.02
surrender,"('surrender', 'give_up')",Polysemy,give up or agree to forgo to the power or possession of another,surrender.v.01
background,"('background',)",Not a Polysemy,a person's social heritage: previous experience or training,background.n.01
smartest,"('smart',)",Not a Polysemy,showing mental alertness and calculation and resourcefulness,smart.a.01
weak,"('weak',)",Not a Polysemy,likely to fail under stress or pressure,weak.s.11
count,"('count', 'matter', 'weigh')",Polysemy,"have weight; have import, carry weight",count.v.02
jefferson,"('Jefferson', 'Thomas_Jefferson', 'President_Jefferson')",Polysemy,3rd President of the United States; chief drafter of the Declaration of Independence; made the Louisiana Purchase in 1803 and sent out the Lewis and Clark Expedition to explore it (1743-1826),jefferson.n.01
navy,"('navy', 'naval_forces')",Polysemy,an organization of military vessels belonging to a country and available for sea warfare,navy.n.01
existential,"('experiential', 'existential')",Polysemy,derived from experience or the experience of existence; - Benjamin Farrington; - John Dewey,experiential.s.02
winter,"('winter', 'wintertime')",Polysemy,the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox,winter.n.01
friendly,"('friendly',)",Not a Polysemy,characteristic of or befitting a friend,friendly.a.01
gap,"('gap', 'crack')",Polysemy,a narrow opening,gap.n.03
claim,"('claim', 'take', 'exact')",Polysemy,take as an undesirable consequence of some event or state of affairs,claim.v.05
caught,"('catch', 'grab', 'take_hold_of')",Polysemy,take hold of so as to seize or restrain or stop the motion of,catch.v.04
double,"('double',)",Not a Polysemy,downward and forward,double.r.01
commanding,"('command',)",Not a Polysemy,demand as one's due,command.v.03
standard,"('standard',)",Not a Polysemy,commonly used or supplied,standard.s.02
defined,"('defined',)",Not a Polysemy,clearly characterized or delimited,defined.a.01
place,"('place', 'shoes')",Polysemy,a particular situation,place.n.06
rut,"('rut',)",Not a Polysemy,a groove or furrow (especially one in soft earth caused by wheels),rut.n.01
broken,"('break',)",Not a Polysemy,come into being,break.v.16
model,"('model', 'example')",Polysemy,a representative form or pattern,model.n.07
double,"('double_over', 'double', 'double_up')",Polysemy,"bend over or curl up, usually with laughter or pain",double_over.v.01
bookings,"('engagement', 'booking')",Polysemy,employment for performers or performing groups that lasts for a limited period of time,engagement.n.05
cat,"('cat',)",Not a Polysemy,a spiteful woman gossip,cat.n.03
tide,"('tide',)",Not a Polysemy,cause to float with the tide,tide.v.02
according,"('accord', 'allot', 'grant')",Polysemy,allow to have,accord.v.02
started,"('start',)",Not a Polysemy,play in the starting lineup,start.v.11
put,"('put', 'assign')",Polysemy,attribute or give,put.v.04
difficult,"('unmanageable', 'difficult')",Polysemy,"hard to control; ,",unmanageable.a.02
mp,"('military_police', 'MP')",Polysemy,a military corps that enforces discipline and guards prisoners,military_police.n.01
assert,"('assert', 'put_forward')",Polysemy,insist on having one's opinions and rights recognized,assert.v.03
romanian,"('Romanian', 'Rumanian')",Polysemy,a native or inhabitant of Romania,romanian.n.01
center,"('center', 'centre', 'center_of_attention', 'centre_of_attention')",Polysemy,the object upon which interest and attention focuses,center.n.06
date,"('date',)",Not a Polysemy,a particular day specified as the time something happens,date.n.07
josephs,"('Joseph', 'Chief_Joseph')",Polysemy,leader of the Nez Perce in their retreat from United States troops (1840-1904),joseph.n.01
leave,"('exit', 'go_out', 'get_out', 'leave')",Polysemy,move out of or depart from,exit.v.01
posted,"('stake', 'post')",Polysemy,mark with a stake,stake.v.03
display,"('expose', 'exhibit', 'display')",Polysemy,"to show, make visible or apparent",expose.v.03
poles,"('terminal', 'pole')",Polysemy,a contact on an electrical device (such as a battery) at which electric current enters or leaves,terminal.n.02
rejected,"('jilted', 'rejected', 'spurned')",Polysemy,rebuffed (by a lover) without warning,jilted.s.01
pass,"('passing', 'pass')",Polysemy,of advancing the ball by throwing it,passing.a.02
donations,"('contribution', 'donation')",Polysemy,act of giving in common with others for a common purpose especially to a charity,contribution.n.03
escalation,"('escalation',)",Not a Polysemy,an increase to counteract a perceived discrepancy,escalation.n.01
tourist,"('tourist', 'tourer', 'holidaymaker')",Polysemy,someone who travels for pleasure,tourist.n.01
zero,"('nothing', 'nil', 'nix', 'nada', 'null', 'aught', 'cipher', 'cypher', 'goose_egg', 'naught', 'zero', 'zilch', 'zip', 'zippo')",Polysemy,a quantity of no importance,nothing.n.01
going,"('function', 'work', 'operate', 'go', 'run')",Polysemy,perform as expected when applied,function.v.01
glow,"('incandescence', 'glow')",Polysemy,the phenomenon of light emission by a body as its temperature is raised,incandescence.n.01
identifies,"('identify', 'place')",Polysemy,recognize as being; establish the identity of someone or something,identify.v.01
holding,"('halt', 'hold', 'arrest')",Polysemy,cause to stop,halt.v.01
world,"('world', 'human_race', 'humanity', 'humankind', 'human_beings', 'humans', 'mankind', 'man')",Polysemy,all of the living human inhabitants of the earth,world.n.08
shade,"('shade', 'shadiness', 'shadowiness')",Polysemy,relative darkness caused by light rays being intercepted by an opaque body,shade.n.01
cutting,"('cut',)",Not a Polysemy,pass through or across,cut.v.16
break,"('break',)",Not a Polysemy,come to an end,break.v.23
bishop,"('bishop',)",Not a Polysemy,a senior member of the Christian clergy having spiritual and administrative authority; appointed in Christian churches to oversee priests or ministers; considered in some churches to be successors of the twelve Apostles of Christ,bishop.n.01
liberty,"('autonomy', 'liberty')",Polysemy,immunity from arbitrary exercise of authority: political independence,autonomy.n.01
break,"('break',)",Not a Polysemy,exchange for smaller units of money,break.v.38
broken,"('break',)",Not a Polysemy,make a rupture in the ranks of the enemy or one's own by quitting or fleeing,break.v.19
starvation,"('starvation', 'famishment')",Polysemy,a state of extreme hunger resulting from lack of essential nutrients over a prolonged period,starvation.n.01
appalled,"('dismay', 'alarm', 'appal', 'appall', 'horrify')",Polysemy,fill with apprehension or alarm; cause to be unpleasantly surprised,dismay.v.02
participation,"('participation', 'involvement')",Polysemy,the condition of sharing in common with others (as fellows or partners etc.),participation.n.02
ethnic,"('heathen', 'heathenish', 'pagan', 'ethnic')",Polysemy,not acknowledging the God of Christianity and Judaism and Islam,heathen.s.01
defensive,"('defensive', 'justificative', 'justificatory')",Polysemy,attempting to justify or defend in speech or writing,defensive.s.02
determined,"('specify', 'set', 'determine', 'define', 'fix', 'limit')",Polysemy,decide upon or fix definitely,specify.v.02
overhead,"('overhead', 'smash')",Polysemy,a hard return hitting the tennis ball above your head,overhead.n.06
watching,"('watch',)",Not a Polysemy,observe or determine by looking,watch.v.06
helping,"('help_oneself', 'help')",Polysemy,abstain from doing; always used with a negative,help_oneself.v.01
contribution,"('contribution', 'donation')",Polysemy,a voluntary gift (as of money or service or ideas) made to some worthwhile cause,contribution.n.02
accommodate,"('lodge', 'accommodate')",Polysemy,provide housing for,lodge.v.04
talk,"('talk',)",Not a Polysemy,discussion; (`talk about' is a less formal alternative for `discussion of'),talk.n.02
video,"('video_recording', 'video')",Polysemy,a recording of both the visual and audible components (especially one containing a recording of a movie or television program),video_recording.n.01
reflecting,"('reflect', 'reverberate')",Polysemy,to throw or bend back (from a surface),reflect.v.03
lighting,"('lighting',)",Not a Polysemy,the craft of providing artificial light,lighting.n.03
stick,"('stick', 'sting')",Polysemy,saddle with something disagreeable or disadvantageous,stick.v.15
motion,"('motion', 'question')",Polysemy,a formal proposal for action made to a deliberative assembly for discussion and vote,motion.n.05
support,"('support',)",Not a Polysemy,any device that bears the weight of another thing,support.n.10
float,"('float',)",Not a Polysemy,circulate or discuss tentatively; test the waters with,float.v.04
glorify,"('transfigure', 'glorify', 'spiritualize')",Polysemy,"elevate or idealize, in allusion to Christ's transfiguration",transfigure.v.01
seen,"('determine', 'check', 'find_out', 'see', 'ascertain', 'watch', 'learn')",Polysemy,"find out, learn, or determine with certainty, usually by making an inquiry or other effort",determine.v.08
channel,"('groove', 'channel')",Polysemy,a long narrow furrow cut either by a natural process (such as erosion) or by a tool (as e.g. a groove in a phonograph record),groove.n.01
cry,"('cry', 'weep')",Polysemy,"shed tears because of sadness, rage, or pain",cry.v.02
lot,"('draw', 'lot')",Polysemy,anything (straws or pebbles etc.) taken or chosen at random,draw.n.04
question,"('question', 'inquiry', 'enquiry', 'query', 'interrogation')",Polysemy,an instance of questioning,question.n.01
increase,"('addition', 'increase', 'gain')",Polysemy,a quantity that is added,addition.n.03
making,"('make',)",Not a Polysemy,change from one form into another,make.v.18
moved,"('move', 'go', 'run')",Polysemy,progress by being changed,move.v.13
packed,"('packed',)",Not a Polysemy,pressed together or compressed,packed.s.02
tougher,"('tough', 'toughened')",Polysemy,physically toughened,tough.a.03
pump,"('pump',)",Not a Polysemy,a mechanical device that moves fluid or gas by pressure or suction,pump.n.01
offered,"('volunteer', 'offer')",Polysemy,agree freely,volunteer.v.02
base,"('base',)",Not a Polysemy,the bottom or lowest part,base.n.04
supercharge,"('boost', 'advance', 'supercharge')",Polysemy,increase or raise,boost.v.04
shame,"('shame',)",Not a Polysemy,cause to be ashamed,shame.v.03
reflection,"('observation', 'reflection', 'reflexion')",Polysemy,a remark expressing careful consideration,observation.n.03
force,"('wedge', 'squeeze', 'force')",Polysemy,squeeze like a wedge into a tight space,wedge.v.02
development,"('growth', 'growing', 'maturation', 'development', 'ontogeny', 'ontogenesis')",Polysemy,(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level,growth.n.01
exercise,"('exercise', 'exercising', 'physical_exercise', 'physical_exertion', 'workout')",Polysemy,the activity of exerting your muscles in various ways to keep fit,exercise.n.01
clearer,"('clear', 'clean-cut', 'clear-cut')",Polysemy,clear and distinct to the senses; easily perceptible,clear.s.09
nonsense,"('nonsense', 'bunk', 'nonsensicality', 'meaninglessness', 'hokum')",Polysemy,a message that seems to convey no meaning,nonsense.n.01
double,"('doubly', 'double', 'twice')",Polysemy,to double the degree,doubly.r.01
interact,"('interact',)",Not a Polysemy,act together or towards others or with others,interact.v.01
reduce,"('reduce',)",Not a Polysemy,lower in grade or rank or force somebody into an undignified situation,reduce.v.05
eighth,"('eighth', '8th')",Polysemy,coming next after the seventh and just before the ninth in position,eighth.s.01
academic,"('academic', 'donnish', 'pedantic')",Polysemy,marked by a narrow focus on or display of learning especially its trivial aspects,academic.s.03
away,"('aside', 'by', 'away')",Polysemy,in reserve; not for immediate use,aside.r.06
pulling,"('pull',)",Not a Polysemy,apply force so as to cause motion towards the source of the motion,pull.v.04
fresh,"('fresh', 'new', 'novel')",Polysemy,original and of a kind not seen before,fresh.s.04
miserable,"('miserable', 'wretched')",Polysemy,characterized by physical misery,miserable.s.05
staple,"('staple',)",Not a Polysemy,paper fastener consisting of a short length of U-shaped wire that can fasten papers together,staple.n.05
drug,"('drug', 'do_drugs')",Polysemy,use recreational drugs,drug.v.02
touched,"('touched',)",Not a Polysemy,having come into contact,touched.a.01
exist,"('exist', 'be')",Polysemy,"have an existence, be extant",exist.v.01
confirms,"('confirm',)",Not a Polysemy,administer the rite of confirmation to,confirm.v.05
devastation,"('devastation',)",Not a Polysemy,the feeling of being confounded or overwhelmed,devastation.n.02
monument,"('monument',)",Not a Polysemy,an important site that is marked and preserved as public property,monument.n.02
description,"('description',)",Not a Polysemy,the act of describing something,description.n.02
display,"('display',)",Not a Polysemy,attract attention by displaying some body part or posing; of animals,display.v.02
union,"('union',)",Not a Polysemy,the occurrence of a uniting of separate parts,union.n.09
learnt,"('learn', 'study', 'read', 'take')",Polysemy,be a student of a certain subject,learn.v.04
opening,"('opening', 'opening_night', 'curtain_raising')",Polysemy,the first performance (as of a theatrical production),opening.n.04
gunfire,"('gunfire', 'gunshot')",Polysemy,the act of shooting a gun,gunfire.n.01
held,"('carry', 'hold')",Polysemy,drink alcohol without showing ill effects,carry.v.33
download,"('download',)",Not a Polysemy,transfer a file or program from a central computer to a smaller computer or to a computer at a remote location,download.v.01
invading,"('intrude_on', 'invade', 'obtrude_upon', 'encroach_upon')",Polysemy,"to intrude upon, infringe, encroach on, violate",intrude_on.v.01
medevac,"('medical_evacuation', 'medevac', 'medivac')",Polysemy,the evacuation of persons (usually by air transportation) to a place where they can receive medical care,medical_evacuation.n.01
normal,"('normal',)",Not a Polysemy,forming a right angle,normal.s.04
range,"('scope', 'range', 'reach', 'orbit', 'compass', 'ambit')",Polysemy,an area in which something acts or operates or has power or control:,scope.n.01
club,"('club',)",Not a Polysemy,gather into a club-like mass,club.v.04
newest,"('new',)",Not a Polysemy,other than the former one(s); different,new.s.05
read,"('read',)",Not a Polysemy,interpret something that is written or printed,read.v.01
named,"('name', 'nominate', 'make')",Polysemy,charge with a function; charge to be,name.v.03
order,"('club', 'social_club', 'society', 'guild', 'gild', 'lodge', 'order')",Polysemy,a formal association of people with similar interests,club.n.02
aegis,"('auspices', 'protection', 'aegis')",Polysemy,kindly endorsement and guidance,auspices.n.01
services,"('service', 'serving', 'service_of_process')",Polysemy,the act of delivering a writ or summons upon someone,service.n.13
invades,"('invade', 'occupy')",Polysemy,march aggressively into another's territory by military force for the purposes of conquest and occupation,invade.v.01
torture,"('agony', 'torment', 'torture')",Polysemy,intense feelings of suffering; acute mental or physical pain,agony.n.01
alleged,"('allege', 'aver', 'say')",Polysemy,report or maintain,allege.v.01
agent,"('agent', 'factor', 'broker')",Polysemy,a businessman who buys or sells for another in exchange for a commission,agent.n.04
clash,"('collide', 'clash')",Polysemy,crash together with violent impact,collide.v.03
pump,"('pump',)",Not a Polysemy,a low-cut shoe without fastenings,pump.n.03
headed,"('head',)",Not a Polysemy,form a head or come or grow to a head,head.v.08
level,"('degree', 'level', 'stage', 'point')",Polysemy,a specific identifiable position in a continuum or series or especially in a process,degree.n.02
black,"('black',)",Not a Polysemy,(board games) the darker pieces,black.n.06
kept,"('preserve', 'keep')",Polysemy,prevent (food) from rotting,preserve.v.04
point,"('point', 'dot')",Polysemy,a very small circular shape,point.n.09
survive,"('survive', 'last', 'live', 'live_on', 'go', 'endure', 'hold_up', 'hold_out')",Polysemy,continue to live through hardship or adversity,survive.v.01
faith,"('religion', 'faith', 'religious_belief')",Polysemy,a strong belief in a supernatural power or powers that control human destiny,religion.n.01
smell,"('smell', 'sense_of_smell', 'olfaction', 'olfactory_modality')",Polysemy,the faculty that enables us to distinguish scents,smell.n.04
ukrainians,"('Ukrainian',)",Not a Polysemy,the Slavic language spoken in the Ukraine,ukrainian.n.01
spread,"('bedspread', 'bedcover', 'bed_cover', 'bed_covering', 'counterpane', 'spread')",Polysemy,decorative cover for a bed,bedspread.n.01
played,"('play',)",Not a Polysemy,play on an instrument,play.v.03
run,"('run',)",Not a Polysemy,make without a miss,run.v.24
glaring,"('glower', 'glare')",Polysemy,look at with a fixed gaze,glower.v.01
cover,"('cover_charge', 'cover')",Polysemy,a fixed charge by a restaurant or nightclub over and above the charge for food and drink,cover_charge.n.01
fooling,"('gull', 'dupe', 'slang', 'befool', 'cod', 'fool', 'put_on', 'take_in', 'put_one_over', 'put_one_across')",Polysemy,fool or hoax,gull.v.02
design,"('design', 'plan')",Polysemy,an arrangement scheme,design.n.02
lies,"('dwell', 'consist', 'lie', 'lie_in')",Polysemy,originate (in),dwell.v.02
hard-hitting,"('hard-hitting', 'high-pressure')",Polysemy,aggressively and persistently persuasive,hard-hitting.s.02
man,"('Man', 'Isle_of_Man')",Polysemy,one of the British Isles in the Irish Sea,man.n.09
tainted,"('infect', 'taint')",Polysemy,contaminate with a disease or microorganism,infect.v.02
haematology,"('hematology', 'haematology')",Polysemy,the branch of medicine that deals with diseases of the blood and blood-forming organs,hematology.n.01
beat,"('meter', 'metre', 'measure', 'beat', 'cadence')",Polysemy,(prosody) the accent in a metrical foot of verse,meter.n.03
latter,"('latter',)",Not a Polysemy,referring to the second of two things or persons mentioned (or the last one or ones of several),latter.a.01
judge,"('judge', 'justice', 'jurist')",Polysemy,a public official authorized to decide questions brought before a court of justice,judge.n.01
temples,"('synagogue', 'temple', 'tabernacle')",Polysemy,(Judaism) the place of worship for a Jewish congregation,synagogue.n.01
way,"('way',)",Not a Polysemy,a portion of something divided into shares,way.n.12
added,"('add', 'add_together')",Polysemy,make an addition by combining numbers,add.v.04
fm,"('fermium', 'Fm', 'atomic_number_100')",Polysemy,a radioactive transuranic metallic element produced by bombarding plutonium with neutrons,fermium.n.01
grain,"('grain',)",Not a Polysemy,the smallest possible unit of anything,grain.n.09
lives,"('life',)",Not a Polysemy,the organic phenomenon that distinguishes living organisms from nonliving ones,life.n.11
wing,"('wing',)",Not a Polysemy,a hockey player stationed in a forward position on either side,wing.n.06
bedroom,"('bedroom', 'sleeping_room', 'sleeping_accommodation', 'chamber', 'bedchamber')",Polysemy,a room used primarily for sleeping,bedroom.n.01
standard,"('standard', 'stock')",Polysemy,regularly and widely used or sold,standard.s.05
banking,"('bank',)",Not a Polysemy,enclose with a bank,bank.v.02
drawing,"('draw',)",Not a Polysemy,require a specified depth for floating,draw.v.22
check,"('bridle', 'check', 'curb')",Polysemy,the act of restraining power or action or limiting excess,bridle.n.02
executive,"('executive', 'executive_director')",Polysemy,a person responsible for the administration of a business,executive.n.01
happened,"('happen', 'hap', 'go_on', 'pass_off', 'occur', 'pass', 'fall_out', 'come_about', 'take_place')",Polysemy,come to pass,happen.v.01
speaker,"('Speaker',)",Not a Polysemy,the presiding officer of a deliberative assembly,speaker.n.03
newsletter,"('newsletter', 'newssheet')",Polysemy,report or open letter giving informal or confidential news of interest to a special group,newsletter.n.01
bloodshed,"('bloodshed', 'gore')",Polysemy,the shedding of blood resulting in murder,bloodshed.n.01
proof,"('proofread', 'proof')",Polysemy,read for errors,proofread.v.01
continued,"('stay', 'stay_on', 'continue', 'remain')",Polysemy,"continue in a place, position, or situation",stay.v.04
inspected,"('visit', 'inspect')",Polysemy,come to see in an official or professional capacity,visit.v.04
sink,"('sink',)",Not a Polysemy,(technology) a process that acts to absorb or remove energy or a substance from a system,sink.n.02
reports,"('report', 'cover')",Polysemy,"be responsible for reporting the details of, as in journalism",report.v.05
pussy,"('kitty', 'kitty-cat', 'puss', 'pussy', 'pussycat')",Polysemy,informal terms referring to a domestic cat,kitty.n.04
court,"('court', 'tribunal', 'judicature')",Polysemy,an assembly (including one or more judges) to conduct judicial business,court.n.01
report,"('report', 'study', 'written_report')",Polysemy,a written document describing the findings of some individual or group,report.n.01
snoring,"('snore', 'snoring', 'stertor')",Polysemy,the act of snoring or producing a snoring sound,snore.n.02
break,"('break', 'break_away')",Polysemy,interrupt a continued activity,break.v.18
portion,"('helping', 'portion', 'serving')",Polysemy,an individual quantity of food or drink taken as part of a meal,helping.n.01
overhead,"('overhead',)",Not a Polysemy,above the head; over the head,overhead.r.02
festival,"('festival', 'fete')",Polysemy,an organized series of acts and performances (usually in one place),festival.n.02
cycle,"('cycle', 'oscillation')",Polysemy,a single complete execution of a periodically repeated phenomenon,cycle.n.05
cleared,"('clear',)",Not a Polysemy,pass an inspection or receive authorization,clear.v.17
retrofit,"('retrofit',)",Not a Polysemy,substitute new or modernized parts or equipment for older ones,retrofit.v.03
hottest,"('hot',)",Not a Polysemy,having or showing great eagerness or enthusiasm,hot.s.17
striking,"('hit', 'strike', 'come_to')",Polysemy,cause to experience suddenly,hit.v.09
australian,"('Australian', 'Aussie')",Polysemy,a native or inhabitant of Australia,australian.n.01
bother,"('trouble', 'put_out', 'inconvenience', 'disoblige', 'discommode', 'incommode', 'bother')",Polysemy,to cause inconvenience or discomfort to,trouble.v.02
storage,"('storage',)",Not a Polysemy,(computer science) the process of storing information in a computer memory or on a magnetic tape or disk,storage.n.04
snake,"('Hydra', 'Snake')",Polysemy,a long faint constellation in the southern hemisphere near the equator stretching between Virgo and Cancer,hydra.n.02
c,"('hundred', 'one_hundred', '100', 'c')",Polysemy,being ten more than ninety,hundred.s.01
attempt,"('try', 'seek', 'attempt', 'essay', 'assay')",Polysemy,make an effort or attempt,try.v.01
developed,"('develop',)",Not a Polysemy,"grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment",develop.v.10
dogs,"('dog', 'domestic_dog', 'Canis_familiaris')",Polysemy,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,dog.n.01
predetermined,"('predetermine',)",Not a Polysemy,determine beforehand,predetermine.v.01
photograph,"('photograph', 'photo', 'exposure', 'picture', 'pic')",Polysemy,a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material,photograph.n.01
dropping,"('drop',)",Not a Polysemy,omit (a letter or syllable) in speaking or writing,drop.v.18
bear,"('bear', 'turn_out')",Polysemy,"bring forth,",bear.v.05
charlatan,"('mountebank', 'charlatan')",Polysemy,a flamboyant deceiver; one who attracts customers with tricks or jokes,mountebank.n.01
aids,"('aid', 'assistance', 'help')",Polysemy,a resource,aid.n.01
thanks,"('thanks',)",Not a Polysemy,an acknowledgment of appreciation,thanks.n.01
well,"('well',)",Not a Polysemy,in good health especially after having suffered illness or injury,well.a.01
think,"('think',)",Not a Polysemy,focus one's attention on a certain state,think.v.06
took,"('take',)",Not a Polysemy,"travel or go by means of a certain kind of transportation, or a certain route",take.v.09
carried,"('carry',)",Not a Polysemy,pursue a line of scent or be a bearer,carry.v.30
things,"('thing',)",Not a Polysemy,an event,thing.n.05
inspiring,"('inspire',)",Not a Polysemy,supply the inspiration for,inspire.v.02
looking,"('look',)",Not a Polysemy,perceive with attention; direct one's gaze towards,look.v.01
cutting,"('cut',)",Not a Polysemy,have a reducing effect,cut.v.35
cluster,"('bunch', 'bunch_up', 'bundle', 'cluster', 'clump')",Polysemy,gather or cause to gather into a cluster,bunch.v.02
monthly,"('monthly',)",Not a Polysemy,occurring once a month,monthly.r.01
solemn,"('grave', 'sedate', 'sober', 'solemn')",Polysemy,dignified and somber in manner or character and committed to keeping promises,grave.s.01
consider,"('consider',)",Not a Polysemy,"regard or treat with consideration, respect, and esteem",consider.v.09
deception,"('misrepresentation', 'deceit', 'deception')",Polysemy,a misleading falsehood,misrepresentation.n.01
supporting,"('encouraging', 'supporting')",Polysemy,furnishing support and encouragement,encouraging.s.02
speaks,"('talk', 'speak')",Polysemy,exchange thoughts; talk with,talk.v.01
cut,"('cut',)",Not a Polysemy,function as a cutting instrument,cut.v.24
afghan,"('sheepskin_coat', 'afghan')",Polysemy,a coat made of sheepskin,sheepskin_coat.n.01
pound,"('pound', 'dog_pound')",Polysemy,a public enclosure for stray or unlicensed dogs,pound.n.13
committee,"('committee', 'commission')",Polysemy,a special group delegated to consider some matter;  - Milton Berle,committee.n.01
formed,"('shape', 'form', 'work', 'mold', 'mould', 'forge')",Polysemy,"make something, usually for a specific function",shape.v.02
crimes,"('crime',)",Not a Polysemy,an evil act not necessarily punishable by law,crime.n.02
common,"('common', 'usual')",Polysemy,commonly encountered,common.s.04
official,"('official',)",Not a Polysemy,of or relating to an office,official.a.02
undersecretary,"('undersecretary',)",Not a Polysemy,a secretary immediately subordinate to the head of a department of government,undersecretary.n.01
beginning,"('begin', 'start')",Polysemy,have a beginning characterized in some specified way,begin.v.07
shot,"('photograph', 'snap', 'shoot')",Polysemy,record on photographic film,photograph.v.01
mrs,"('Mister', 'Mr', 'Mr.')",Polysemy,a form of address for a man,mister.n.01
satisfactory,"('satisfactory', 'acceptable')",Polysemy,meeting requirements,satisfactory.s.02
cholera,"('cholera', 'Asiatic_cholera', 'Indian_cholera', 'epidemic_cholera')",Polysemy,an acute intestinal infection caused by ingestion of contaminated water or food,cholera.n.01
failure,"('failure',)",Not a Polysemy,lack of success,failure.n.03
cut,"('write_out', 'issue', 'make_out', 'cut')",Polysemy,make out and issue,write_out.v.02
geting,"('draw', 'get')",Polysemy,earn or achieve a base by being walked by the pitcher,draw.v.15
king,"('King', 'Martin_Luther_King', 'Martin_Luther_King_Jr.')",Polysemy,United States charismatic civil rights leader and Baptist minister who campaigned against the segregation of Blacks (1929-1968),king.n.07
plenty,"('enough', 'plenty')",Polysemy,as much as necessary; ; (`plenty' is nonstandard),enough.r.01
lining,"('liner', 'lining')",Polysemy,a piece of cloth that is used as the inside surface of a garment,liner.n.03
table,"('table',)",Not a Polysemy,a piece of furniture with tableware for a meal laid out on it,table.n.03
use,"('use',)",Not a Polysemy,a particular service,use.n.03
propagandist,"('propagandist',)",Not a Polysemy,a person who disseminates messages calculated to assist some cause or some government,propagandist.n.01
stuffed,"('gorge', 'ingurgitate', 'overindulge', 'glut', 'englut', 'stuff', 'engorge', 'overgorge', 'overeat', 'gormandize', 'gormandise', 'gourmandize', 'binge', 'pig_out', 'satiate', 'scarf_out')",Polysemy,overeat or eat immodestly; make a pig of oneself,gorge.v.01
clash,"('clash', 'friction')",Polysemy,a state of conflict between persons,clash.n.02
tally,"('tally', 'chalk_up')",Polysemy,"keep score, as in games",tally.v.03
